Year,Units,display,title,Value
2005,2005 = 100,a) time series,passenger transport performance,100.0
2006,2005 = 100,a) time series,passenger transport performance,100.83642903799145
2007,2005 = 100,a) time series,passenger transport performance,100.94872667233813
2008,2005 = 100,a) time series,passenger transport performance,101.63404912562949
2009,2005 = 100,a) time series,passenger transport performance,102.45037490676069
2010,2005 = 100,a) time series,passenger transport performance,102.9276794637658
2011,2005 = 100,a) time series,passenger transport performance,104.01162876882908
2012,2005 = 100,a) time series,passenger transport performance,104.32171972280445
2013,2005 = 100,a) time series,passenger transport performance,105.12510325147991
2014,2005 = 100,a) time series,passenger transport performance,106.71733748795602
2015,2005 = 100,a) time series,passenger transport performance,108.11953450811805
2016,2005 = 100,a) time series,passenger transport performance,110.19673797642956
2017,2005 = 100,a) time series,passenger transport performance,108.94361144606216
2005,2005 = 100,a) time series,final energy consumption per passenger-kilometre,100.0
2006,2005 = 100,a) time series,final energy consumption per passenger-kilometre,98.3293683940964
2007,2005 = 100,a) time series,final energy consumption per passenger-kilometre,97.477300832238
2008,2005 = 100,a) time series,final energy consumption per passenger-kilometre,95.59738117054873
2009,2005 = 100,a) time series,final energy consumption per passenger-kilometre,95.72927822072049
2010,2005 = 100,a) time series,final energy consumption per passenger-kilometre,95.14054096478176
2011,2005 = 100,a) time series,final energy consumption per passenger-kilometre,94.72169779236036
2012,2005 = 100,a) time series,final energy consumption per passenger-kilometre,93.71401526599855
2013,2005 = 100,a) time series,final energy consumption per passenger-kilometre,92.75145495865732
2014,2005 = 100,a) time series,final energy consumption per passenger-kilometre,92.01716265869392
2015,2005 = 100,a) time series,final energy consumption per passenger-kilometre,91.48853255790209
2016,2005 = 100,a) time series,final energy consumption per passenger-kilometre,90.24790463900194
2017,2005 = 100,a) time series,final energy consumption per passenger-kilometre,91.11159456442877
2005,2005 = 100,a) time series,final energy consumption in passenger transport,100.0
2006,2005 = 100,a) time series,final energy consumption in passenger transport,99.1518237842182
2007,2005 = 100,a) time series,final energy consumption in passenger transport,98.40209398470871
2008,2005 = 100,a) time series,final energy consumption in passenger transport,97.15948934169079
2009,2005 = 100,a) time series,final energy consumption in passenger transport,98.07500443266414
2010,2005 = 100,a) time series,final energy consumption in passenger transport,97.92595104432337
2011,2005 = 100,a) time series,final energy consumption in passenger transport,98.52158067132206
2012,2005 = 100,a) time series,final energy consumption in passenger transport,97.76407234678119
2013,2005 = 100,a) time series,final energy consumption in passenger transport,97.50506279253838
2014,2005 = 100,a) time series,final energy consumption in passenger transport,98.19826602131985
2015,2005 = 100,a) time series,final energy consumption in passenger transport,98.91697552991181
2016,2005 = 100,a) time series,final energy consumption in passenger transport,99.450247004259
2017,2005 = 100,a) time series,final energy consumption in passenger transport,99.2602615645827
2030,2005 = 100,b) target (max),final energy consumption in passenger transport,85.0
