Year,Units,typification,Bundesland,GeoCode,Value
2000,2000 = 100,a) rural and non-rural areas,,,100.0
2001,2000 = 100,a) rural and non-rural areas,,,99.3
2002,2000 = 100,a) rural and non-rural areas,,,98.5
2003,2000 = 100,a) rural and non-rural areas,,,97.5
2004,2000 = 100,a) rural and non-rural areas,,,96.6
2005,2000 = 100,a) rural and non-rural areas,,,95.7
2006,2000 = 100,a) rural and non-rural areas,,,94.8
2007,2000 = 100,a) rural and non-rural areas,,,93.9
2008,2000 = 100,a) rural and non-rural areas,,,92.9
2009,2000 = 100,a) rural and non-rural areas,,,92.1
2010,2000 = 100,a) rural and non-rural areas,,,91.5
2011,2000 = 100,a) rural and non-rural areas,,,90.8
2012,2000 = 100,a) rural and non-rural areas,,,90.6
2013,2000 = 100,a) rural and non-rural areas,,,90.4
2014,2000 = 100,a) rural and non-rural areas,,,90.4
2015,2000 = 100,a) rural and non-rural areas,,,91.1
2016,2000 = 100,a) rural and non-rural areas,,,91.1
2017,2000 = 100,a) rural and non-rural areas,,,91.0
2018,2000 = 100,a) rural and non-rural areas,,,90.6
2000,2000 = 100,non-rural areas,,,100.0
2001,2000 = 100,non-rural areas,,,99.7
2002,2000 = 100,non-rural areas,,,99.3
2003,2000 = 100,non-rural areas,,,98.8
2004,2000 = 100,non-rural areas,,,98.3
2005,2000 = 100,non-rural areas,,,97.9
2006,2000 = 100,non-rural areas,,,97.5
2007,2000 = 100,non-rural areas,,,97.2
2008,2000 = 100,non-rural areas,,,96.7
2009,2000 = 100,non-rural areas,,,96.4
2010,2000 = 100,non-rural areas,,,96.2
2011,2000 = 100,non-rural areas,,,96.3
2012,2000 = 100,non-rural areas,,,96.7
2013,2000 = 100,non-rural areas,,,97.0
2014,2000 = 100,non-rural areas,,,97.5
2015,2000 = 100,non-rural areas,,,98.6
2016,2000 = 100,non-rural areas,,,99.0
2017,2000 = 100,non-rural areas,,,99.2
2018,2000 = 100,non-rural areas,,,99.4
2000,2000 = 100,rural areas,,,100.0
2001,2000 = 100,rural areas,,,99.1
2002,2000 = 100,rural areas,,,98.1
2003,2000 = 100,rural areas,,,97.0
2004,2000 = 100,rural areas,,,95.9
2005,2000 = 100,rural areas,,,94.8
2006,2000 = 100,rural areas,,,93.6
2007,2000 = 100,rural areas,,,92.5
2008,2000 = 100,rural areas,,,91.2
2009,2000 = 100,rural areas,,,90.2
2010,2000 = 100,rural areas,,,89.3
2011,2000 = 100,rural areas,,,88.2
2012,2000 = 100,rural areas,,,87.7
2013,2000 = 100,rural areas,,,87.2
2014,2000 = 100,rural areas,,,86.9
2015,2000 = 100,rural areas,,,87.5
2016,2000 = 100,rural areas,,,87.2
2017,2000 = 100,rural areas,,,86.9
2018,2000 = 100,rural areas,,,86.4
2000,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',100.0
2001,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',99.7
2002,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',99.3
2003,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',98.7
2004,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',98.2
2005,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',97.6
2006,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',96.9
2007,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',96.1
2008,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',95.4
2009,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.8
2010,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.3
2011,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.1
2012,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.2
2013,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.4
2014,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',94.8
2015,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',95.9
2016,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',96.2
2017,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',96.3
2018,2000 = 100,a) rural and non-rural areas,bw,'code080000000000',96.4
2000,2000 = 100,a) rural and non-rural areas,by,'code090000000000',100.0
2001,2000 = 100,a) rural and non-rural areas,by,'code090000000000',99.7
2002,2000 = 100,a) rural and non-rural areas,by,'code090000000000',99.2
2003,2000 = 100,a) rural and non-rural areas,by,'code090000000000',98.6
2004,2000 = 100,a) rural and non-rural areas,by,'code090000000000',98.0
2005,2000 = 100,a) rural and non-rural areas,by,'code090000000000',97.4
2006,2000 = 100,a) rural and non-rural areas,by,'code090000000000',96.6
2007,2000 = 100,a) rural and non-rural areas,by,'code090000000000',96.0
2008,2000 = 100,a) rural and non-rural areas,by,'code090000000000',95.2
2009,2000 = 100,a) rural and non-rural areas,by,'code090000000000',94.4
2010,2000 = 100,a) rural and non-rural areas,by,'code090000000000',93.6
2011,2000 = 100,a) rural and non-rural areas,by,'code090000000000',91.5
2012,2000 = 100,a) rural and non-rural areas,by,'code090000000000',91.6
2013,2000 = 100,a) rural and non-rural areas,by,'code090000000000',91.7
2014,2000 = 100,a) rural and non-rural areas,by,'code090000000000',91.9
2015,2000 = 100,a) rural and non-rural areas,by,'code090000000000',92.4
2016,2000 = 100,a) rural and non-rural areas,by,'code090000000000',92.5
2017,2000 = 100,a) rural and non-rural areas,by,'code090000000000',92.6
2018,2000 = 100,a) rural and non-rural areas,by,'code090000000000',92.7
2000,2000 = 100,a) rural and non-rural areas,be,'code110000000000',100.0
2001,2000 = 100,a) rural and non-rural areas,be,'code110000000000',99.6
2002,2000 = 100,a) rural and non-rural areas,be,'code110000000000',99.3
2003,2000 = 100,a) rural and non-rural areas,be,'code110000000000',98.7
2004,2000 = 100,a) rural and non-rural areas,be,'code110000000000',98.4
2005,2000 = 100,a) rural and non-rural areas,be,'code110000000000',98.1
2006,2000 = 100,a) rural and non-rural areas,be,'code110000000000',98.1
2007,2000 = 100,a) rural and non-rural areas,be,'code110000000000',97.8
2008,2000 = 100,a) rural and non-rural areas,be,'code110000000000',98.0
2009,2000 = 100,a) rural and non-rural areas,be,'code110000000000',97.6
2010,2000 = 100,a) rural and non-rural areas,be,'code110000000000',97.7
2011,2000 = 100,a) rural and non-rural areas,be,'code110000000000',99.1
2012,2000 = 100,a) rural and non-rural areas,be,'code110000000000',100.9
2013,2000 = 100,a) rural and non-rural areas,be,'code110000000000',102.1
2014,2000 = 100,a) rural and non-rural areas,be,'code110000000000',103.6
2015,2000 = 100,a) rural and non-rural areas,be,'code110000000000',105.1
2016,2000 = 100,a) rural and non-rural areas,be,'code110000000000',106.7
2017,2000 = 100,a) rural and non-rural areas,be,'code110000000000',107.7
2018,2000 = 100,a) rural and non-rural areas,be,'code110000000000',108.5
2000,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',100.0
2001,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',98.2
2002,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',96.5
2003,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',95.0
2004,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',93.7
2005,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',91.9
2006,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',90.3
2007,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',88.9
2008,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',87.0
2009,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',85.7
2010,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',84.9
2011,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',84.2
2012,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',83.7
2013,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',82.4
2014,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',82.4
2015,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',83.1
2016,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',83.2
2017,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',83.5
2018,2000 = 100,a) rural and non-rural areas,bb,'code120000000000',83.6
2000,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',100.0
2001,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',99.4
2002,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',99.7
2003,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',99.4
2004,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',99.3
2005,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',98.8
2006,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',98.8
2007,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',97.8
2008,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',97.5
2009,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',97.4
2010,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',96.8
2011,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',96.5
2012,2000 = 100,a) rural and non-rural areas,hb,'code040000000000',96.0
